pdb_id,status,size_kb,reason
1YCS,downloaded,302,
1YDA,downloaded,205,
1YDB,downloaded,204,
1YDC,downloaded,201,
1YDD,downloaded,209,
1YJ6,downloaded,489,
1YO0,downloaded,198,
1YO1,downloaded,203,
1YO2,downloaded,198,
1YOU,downloaded,276,
1Z1L,downloaded,277,
1Z6U,downloaded,213,
1Z83,downloaded,493,
1Z8I,downloaded,262,
1Z8J,downloaded,257,
1Z93,downloaded,208,
1Z97,downloaded,205,
1Z9Y,downloaded,217,
1ZE8,downloaded,218,
1ZEB,downloaded,402,
1ZED,downloaded,764,
1ZEF,downloaded,404,
1ZEG,downloaded,128,
1ZEH,downloaded,137,
1ZFK,downloaded,227,
1ZFP,downloaded,115,
1ZFQ,downloaded,223,
1ZGE,downloaded,221,
1ZGF,downloaded,212,
1ZH9,downloaded,217,
1ZKL,downloaded,266,
1ZKN,downloaded,934,
1ZLI,downloaded,318,
1ZNJ,cached,275,
1ZP5,downloaded,155,
1ZS0,downloaded,167,
1ZSB,downloaded,204,
1ZSC,downloaded,202,
1ZTQ,downloaded,549,
1ZVX,downloaded,155,
1ZX1,downloaded,368,
1ZXC,downloaded,391,
1ZY7,downloaded,574,
2A25,downloaded,145,
2A2Q,downloaded,511,
2A66,downloaded,140,
2A8H,downloaded,392,
2ABE,downloaded,208,
2AC0,cached,716,
2AC3,downloaded,228,
2ADY,downloaded,344,
2AER,downloaded,508,
2AFM,downloaded,509,
2AFO,downloaded,498,
2AFS,downloaded,495,
2AFU,downloaded,503,
2AFW,downloaded,514,
2AFX,downloaded,515,
2AFZ,downloaded,514,
2AHI,downloaded,690,
2ATA,downloaded,672,
2AW1,downloaded,231,
2AX2,downloaded,213,
2B0O,downloaded,747,
2B4Y,downloaded,802,
2BIM,downloaded,321,
2BIN,downloaded,169,
2BIO,downloaded,169,
2BIP,downloaded,166,
2BIQ,downloaded,169,
2BO9,downloaded,847,
2BOA,cached,607,
2BQ8,downloaded,249,
2BZS,downloaded,383,
2C6C,downloaded,525,
2C6G,downloaded,512,
2C6P,downloaded,497,
2C7A,downloaded,202,
2C7M,downloaded,130,
2C7N,downloaded,608,
2C9S,downloaded,535,
2C9U,downloaded,484,
2C9V,downloaded,544,
2CA2,downloaded,212,
2CAB,downloaded,188,
2CB8,downloaded,354,
2CBA,cached,217,
2CBB,downloaded,214,
2CBC,downloaded,217,
2CBD,downloaded,216,
2CEI,downloaded,202,
2CH9,downloaded,137,
2CHI,downloaded,216,
2CHM,downloaded,300,
2CIH,downloaded,228,
2CIJ,downloaded,525,
2CLU,downloaded,196,
2CN6,downloaded,200,
2D1N,downloaded,280,
2D1O,downloaded,294,
2DDF,downloaded,403,
2E2D,downloaded,292,
2E88,downloaded,299,
2EH9,downloaded,108,
2ESL,downloaded,901,
2EU2,downloaded,408,
2EU3,downloaded,213,
2EZ7,downloaded,207,
2F14,downloaded,230,
2F6J,downloaded,432,
2F6N,downloaded,291,
2F92,downloaded,273,
2F94,downloaded,285,
2F9K,downloaded,277,
2FIR,downloaded,508,
2FJ9,downloaded,115,
2FM0,downloaded,976,
2FM5,downloaded,973,
2FMG,downloaded,210,
2FMZ,downloaded,211,
2FNK,downloaded,207,
2FNM,downloaded,204,
2FNN,downloaded,209,
2FOQ,downloaded,405,
2FOS,downloaded,439,
2FOU,downloaded,435,
2FOV,downloaded,426,
2FOY,downloaded,433,
2FSA,downloaded,434,
2FU5,downloaded,403,
2FV5,downloaded,409,
2FV9,downloaded,378,
2FW4,downloaded,391,
2FZE,downloaded,589,
2FZW,downloaded,599,
2G43,downloaded,183,
2G45,downloaded,299,
2G54,downloaded,1398,
2G9H,downloaded,483,
2GBT,downloaded,417,
2GBV,downloaded,1098,
2GD8,downloaded,233,
2GEH,downloaded,216,
2GFO,downloaded,301,
2GIV,downloaded,234,
2GLQ,downloaded,734,
2GP3,downloaded,504,
2GP5,downloaded,508,
2H0D,downloaded,171,
2H15,downloaded,215,
2H2D,downloaded,200,
2H2F,downloaded,188,
2H40,downloaded,247,
2H42,downloaded,713,
2H44,downloaded,272,
2H4F,downloaded,204,
2H4H,downloaded,206,
2H4J,downloaded,364,
2H4N,downloaded,198,
2H59,downloaded,389,
2H6F,downloaded,585,
2H6G,downloaded,574,
2H6H,downloaded,583,
2HD1,downloaded,490,
2HD5,downloaded,302,
2HD6,downloaded,220,
2HFW,downloaded,206,
2HH5,downloaded,358,
2HKK,downloaded,216,
2HL4,downloaded,228,
2HNC,downloaded,218,
2HOC,downloaded,221,
2HQH,downloaded,326,
2HU6,downloaded,289,
2HZC,downloaded,182,
2I3H,downloaded,361,
2I3I,downloaded,205,
2I47,downloaded,786,
2I7T,downloaded,309,
2I7V,downloaded,336,
2IBI,downloaded,314,
2IEJ,downloaded,589,
2IGQ,downloaded,433,
2IIM,downloaded,128,
2ILI,downloaded,405,
2IMS,downloaded,153,
2IMT,downloaded,149,
2IQJ,downloaded,199,
2IT4,downloaded,386,
2IU2,downloaded,201,
2IUL,downloaded,465,
2IYB,downloaded,537,
2J1W,downloaded,317,
2J1X,downloaded,326,
2J1Y,downloaded,614,
2J1Z,downloaded,325,
2J20,downloaded,325,
2J21,downloaded,315,
2JBJ,downloaded,543,
2JIH,downloaded,463,
2JJZ,downloaded,365,
2JLP,downloaded,566,
2NL9,downloaded,187,
2NLL,cached,238,
2NMX,downloaded,415,
2NN1,downloaded,412,
2NN7,downloaded,401,
2NNG,cached,415,
2NNO,downloaded,432,
2NNS,downloaded,436,
2NNV,downloaded,421,
2NNX,downloaded,436,
2NUT,downloaded,1080,
2NWO,downloaded,203,
2NWP,downloaded,202,
2NWY,downloaded,201,
2NWZ,downloaded,201,
2NXR,downloaded,202,
2NXS,downloaded,202,
2NXT,downloaded,215,
2NYR,downloaded,448,
2NYT,downloaded,527,
2O36,downloaded,493,
2O4Z,downloaded,210,
2O8J,downloaded,846,
2OC2,downloaded,437,
2OCJ,cached,570,
2OI0,downloaded,211,
2OLM,downloaded,136,
2OLY,downloaded,276,
2OLZ,downloaded,280,
2OM0,downloaded,773,
2OM1,downloaded,773,
2OMG,downloaded,167,
2OMH,downloaded,166,
2OMI,downloaded,251,
2OO4,downloaded,658,
2OOT,downloaded,583,
2OQ6,downloaded,558,
2OQ7,downloaded,524,
2OR4,downloaded,606,
2ORV,downloaded,276,
2OS2,downloaded,542,
2OSF,downloaded,205,
2OSM,downloaded,201,
2OT7,downloaded,547,
2OU2,downloaded,212,
2OU7,downloaded,249,
2OUN,downloaded,497,
2OUP,downloaded,494,
2OUQ,downloaded,482,
2OUV,downloaded,498,
2OUY,downloaded,484,
2OVX,downloaded,296,
2OVZ,downloaded,296,
2OW0,downloaded,293,
2OW1,downloaded,288,
2OW9,downloaded,322,
2OWB,downloaded,254,
2OX0,downloaded,569,
2OX8,downloaded,440,
2OXU,downloaded,275,
2OXW,downloaded,273,
2OXZ,downloaded,154,
2OY2,downloaded,538,
2OY4,downloaded,269,
2OZR,downloaded,1094,
2OZU,downloaded,258,
2P1H,downloaded,100,
2P2L,downloaded,476,
2P57,downloaded,116,
2P5B,downloaded,547,
2P6B,downloaded,789,
2PCU,downloaded,264,
2PCX,downloaded,184,
2PGQ,downloaded,270,
2PNX,downloaded,125,
2POI,downloaded,84,
2POU,downloaded,221,
2POV,downloaded,223,
2POW,downloaded,217,
2PQ8,downloaded,231,
2PQK,downloaded,168,
2PSR,downloaded,100,
2PSY,downloaded,195,
2PUY,downloaded,125,
2PVV,downloaded,567,
2PVW,downloaded,559,
2PW3,downloaded,504,
2PXJ,downloaded,521,
2Q1B,downloaded,223,
2Q1Q,downloaded,212,
2Q38,downloaded,219,
2Q8C,downloaded,522,
2Q8D,downloaded,528,
2Q8E,downloaded,530,
2QFA,downloaded,419,
2QIC,downloaded,74,
2QIU,downloaded,105,
2QMY,downloaded,369,
2QMZ,downloaded,376,
2QO8,downloaded,233,
2QOA,downloaded,232,
2QP6,downloaded,229,
2QPJ,downloaded,523,
2QR2,downloaded,446,
2QRA,downloaded,265,
2QWX,downloaded,401,
2QX4,downloaded,395,
2QX6,downloaded,378,
2QX8,downloaded,399,
2QX9,downloaded,361,
2QYK,downloaded,508,
2QYL,downloaded,261,
2QYM,downloaded,235,
2QYN,downloaded,499,
2R3A,downloaded,236,
2R59,downloaded,473,
2RAW,downloaded,168,
2RF5,downloaded,185,
2RFI,downloaded,468,
2RHK,downloaded,305,
2RI7,downloaded,179,
2RIQ,downloaded,138,
2RKU,downloaded,276,
2TCL,downloaded,150,
2USN,downloaded,168,
2UUR,downloaded,196,
2UVL,downloaded,166,
2UZ9,downloaded,338,
2UZI,downloaded,327,
2V0A,downloaded,529,
2V1X,downloaded,770,
2V4B,downloaded,443,
2V5W,downloaded,591,
2V5X,downloaded,547,
2V77,downloaded,509,
2V83,downloaded,223,
2V85,downloaded,174,
2V88,downloaded,181,
2V89,downloaded,291,
2V9K,downloaded,384,
2VAC,downloaded,133,
2VD7,downloaded,542,
2VJ8,downloaded,484,
2VJE,downloaded,215,
2VJF,downloaded,217,
2VJZ,downloaded,129,
2VK0,downloaded,129,
2VM5,downloaded,102,
2VNF,downloaded,224,
2VP7,downloaded,112,
2VPB,downloaded,103,
2VPE,downloaded,181,
2VPG,downloaded,194,
2VQJ,downloaded,316,
2VQM,downloaded,318,
2VQO,downloaded,530,
2VQQ,downloaded,566,
2VR6,downloaded,561,
2VR7,downloaded,294,
2VR8,downloaded,515,
2VRW,downloaded,438,
2VSL,downloaded,110,
2VTG,downloaded,112,
2VUK,downloaded,335,
2VVA,downloaded,275,
2VVB,cached,280,
2VZ5,downloaded,255,
2W0D,downloaded,611,
2W44,downloaded,139,
2W4L,downloaded,663,
2W5Y,downloaded,155,
2W5Z,downloaded,168,
2W9N,downloaded,143,
2WC8,downloaded,340,
2WCB,downloaded,191,
2WD2,downloaded,267,
2WD3,downloaded,275,
2WEG,downloaded,271,
2WEH,downloaded,253,
2WEJ,downloaded,259,
2WEO,downloaded,259,
2WFQ,downloaded,147,
2WFR,downloaded,152,
2WGX,downloaded,330,
2WJY,downloaded,569,
2WKO,downloaded,252,
2WM1,downloaded,266,
2WND,downloaded,112,
2WO8,downloaded,547,
2WO9,downloaded,569,
2WOA,downloaded,548,
2WOR,downloaded,109,
2WOS,downloaded,110,
2WS6,downloaded,535,
2WVJ,downloaded,1016,
2WWZ,downloaded,291,
2WX0,downloaded,475,
2WYT,downloaded,920,
2WYZ,downloaded,274,
2WZ0,downloaded,261,
2WZ5,downloaded,481,
2WZ6,downloaded,276,
2X0U,downloaded,353,
2X0V,downloaded,346,
2X0W,downloaded,338,
2X7S,downloaded,264,
2X7T,downloaded,254,
2X7U,downloaded,257,
2XB1,downloaded,326,
2XEF,downloaded,1070,
2XEG,downloaded,1055,
2XEI,downloaded,1047,
2XEJ,downloaded,1052,
2XEU,downloaded,146,
2XJK,downloaded,250,
2XJL,downloaded,261,
2XJY,downloaded,250,
2XOC,downloaded,689,
2XOZ,downloaded,350,
2XP0,downloaded,665,
2XUE,downloaded,1204,
2XUM,downloaded,298,
2XWC,downloaded,319,
2XWR,downloaded,337,
2XY9,downloaded,480,
2XYD,downloaded,917,
2Y0J,downloaded,480,
2Y1H,downloaded,692,
2Y1N,downloaded,583,
2Y33,downloaded,189,
2Y43,downloaded,274,
2Y6C,downloaded,155,
2Y6D,downloaded,157,
2Y6E,downloaded,2756,
2YAC,downloaded,237,
2YB9,downloaded,526,
2YBG,downloaded,593,
2YBK,downloaded,525,
2YBP,downloaded,585,
2YBS,downloaded,572,
2YDM,downloaded,429,
2YHO,downloaded,640,
2YHW,downloaded,476,
2YHY,downloaded,467,
2YI1,downloaded,455,
2YIG,downloaded,520,
2YKG,downloaded,931,
2YMK,downloaded,202,
2YVR,downloaded,101,
2ZCB,downloaded,198,
2ZED,downloaded,540,
2ZEE,downloaded,525,
2ZEF,downloaded,527,
2ZEG,downloaded,517,
2ZEH,downloaded,533,
2ZEL,downloaded,515,
2ZEM,downloaded,509,
2ZEN,downloaded,521,
2ZEO,downloaded,524,
2ZEP,downloaded,509,
2ZKW,downloaded,214,
2ZKY,downloaded,999,
2ZNE,downloaded,289,
2ZNR,downloaded,317,
2ZNV,downloaded,503,
2ZVL,downloaded,1060,
3A1A,downloaded,152,
3A1B,downloaded,147,
3ASL,downloaded,165,
3AVE,downloaded,647,
3AVR,downloaded,1052,
3AVS,downloaded,1008,
3AYU,downloaded,278,
3B08,downloaded,1192,
3B0A,downloaded,606,
3B4F,downloaded,215,
3B7R,downloaded,496,
3B7S,downloaded,923,
3B7T,downloaded,435,
3B7U,downloaded,474,
3B8Z,downloaded,373,
3B92,downloaded,218,
3BET,downloaded,223,
3BHX,downloaded,594,
3BI0,downloaded,591,
3BI1,downloaded,1121,
3BJC,downloaded,293,
3BKK,downloaded,455,
3BKL,downloaded,459,
3BL0,downloaded,215,
3BL1,downloaded,213,
3BO5,downloaded,242,
3BPU,downloaded,97,
3BXM,downloaded,573,
3BXQ,downloaded,171,
3C0Y,downloaded,783,
3C0Z,downloaded,785,
3C10,downloaded,803,
3C2S,downloaded,352,
3C3U,downloaded,273,
3C5K,downloaded,112,
3C6W,downloaded,133,
3C7P,downloaded,226,
3CA2,downloaded,217,
3CAJ,downloaded,226,
3CBB,downloaded,215,
3CH5,downloaded,209,
3CHO,downloaded,481,
3CHP,downloaded,454,
3CHQ,downloaded,464,
3CHR,downloaded,466,
3CJJ,downloaded,198,
3CKI,downloaded,296,
3CM2,downloaded,852,
3COS,downloaded,1087,
3CQP,downloaded,428,
3CQQ,downloaded,209,
3CWW,downloaded,1445,
3CYU,downloaded,244,
3CZT,downloaded,192,
3CZV,downloaded,409,
3D05,downloaded,164,
3D06,downloaded,302,
3D07,downloaded,307,
3D08,downloaded,173,
3D09,downloaded,170,
3D0A,downloaded,682,
3D0N,downloaded,442,
3D0Y,downloaded,192,
3D10,downloaded,185,
3D1M,downloaded,408,
3D2Q,downloaded,244,
3D2S,downloaded,289,
3D3P,downloaded,284,
3D7D,downloaded,594,
3D7F,downloaded,597,
3D7G,downloaded,593,
3D7H,downloaded,589,
3D7V,downloaded,153,
3D8C,downloaded,291,
3D8W,downloaded,207,
3D92,downloaded,415,
3D9T,downloaded,187,
3D9U,downloaded,102,
3D9Z,downloaded,194,
3DA2,downloaded,422,
